Category,Recipe MIN Code,Description,PLU Code,Recipe State,Ingredient MIN Code,Ingredient Description,Quantity (g),Quantity (%),Quantity (UoM),Ingredient State,set
Cake Shop,105630236,MORRISONS FRESH CREAM SPONGE,8530,Active,108781558,Raspberry Jam,75,24.04,,Active,n
Cake Shop,105630236,MORRISONS FRESH CREAM SPONGE,8530,Active,111717637,Whipped Cream,100,32.05,,Active,n
Cake Shop,105630236,MORRISONS FRESH CREAM SPONGE,8530,Active,109942641,Sweet Snow,3,0.96,,Active,n
Cake Shop,105630236,MORRISONS FRESH CREAM SPONGE,8530,Active,108222140,"Frozen Counter 6"" Plain Sponge",134,42.95,1 (EACH),Active,n
Cake Shop,105630279,MORRISONS FRESH CREAM CHOCOLATE SPONGE,8546,Active,105526181,Chocolate Custard,50,17.42,,Active,n
Cake Shop,105630279,MORRISONS FRESH CREAM CHOCOLATE SPONGE,8546,Active,111717637,Whipped Cream,100,34.84,,Active,n
Cake Shop,105630279,MORRISONS FRESH CREAM CHOCOLATE SPONGE,8546,Active,109942641,Sweet Snow,3,1.05,,Active,n
Cake Shop,105630279,MORRISONS FRESH CREAM CHOCOLATE SPONGE,8546,Active,10822094,6'' Chocolate sponge,134,46.69,1 (EACH),Active,n
Cake Shop,108949824,MORRISONS MARKET ST CARROT & WALNUT CAKE SLICE,3341,Active,102388317,Carrot & Walnut Cake,107,100,1 (Slice),Active,n
Cake Shop,108949859,MORRISONS MARKET ST CHOCOLATE FUDGE CAKE SLICE,3466,Active,102388309,Chocolate Fudge Gateau,100,100,1 (Slice),Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,102385175,Toffee Sauce,40,0.24,,Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,105009626,Profiteroles,16000,97.7,8 (EACH),Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,105526181,Chocolate Custard,180,1.1,,Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,111717637,Whipped Cream,150,0.92,,Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,106257744,Chocolate Tagliatelle,5,0.03,,Active,n
Cake Shop,105630447,MORRISONS PROFITEROLE BOWL DESSERT,7771,Active,109942641,Sweet Snow,2,0.01,,Active,n
Cake Shop,105630324,MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SPONGE,796,Active,108858228,Strawberry Compote,60,16.3,,Active,n
Cake Shop,105630324,MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SPONGE,796,Active,111717637,Whipped Cream,120,32.61,,Active,n
Cake Shop,105630324,MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SPONGE,796,Active,109942641,Sweet Snow,4,1.09,,Active,n
Cake Shop,105630324,MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SPONGE,796,Active,108850171,Strawberries,50,13.59,2 (Each),Active,n
Cake Shop,105630324,MORRISONS FRESH CREAM STRAWBERRY BUTTERFLY SPONGE,796,Active,108222140,"Frozen Counter 6"" Plain Sponge",134,36.41,1 (EACH),Active,n
Cake Shop,105867487,M FRESH CREAM BLACK FOREST GATEAU,1200,Active,105526181,Chocolate Custard,70,14.31,,Active,n
Cake Shop,105867487,M FRESH CREAM BLACK FOREST GATEAU,1200,Active,111717637,Whipped Cream,150,30.67,,Active,n
Cake Shop,105867487,M FRESH CREAM BLACK FOREST GATEAU,1200,Active,108787360,Black Cherry Compote,110,22.49,,Active,n
