Comments,PLU,SKU Item Nbr,SKU Item Name,Document SKU Name,Document Grp Name,,Core Range (Y/N),Pack Size,"Prep (Y/N)
Requires 24hr defrost",Prep / Defrost %,Defrost max cap,Scratch 1,Scratch 2,,Minimum Fill Qty,Update min,Production Multiple ,trigger for mix to be produced,Waste Banding  (USE CURRENT RUN RATE - RUSSELL & KATE GARROD),End of Day Carryover,Shelf Life,,8am - 10am,10am - 2pm,2pm - 6pm,Sunday England & Wales,Scottish Sunday
,,105713314,oat and raisin cookies,Cookies,Cookies,,Y,5,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713314,4,,#REF!,50%,D+1,,,,Y,2pm - 4pm,no change
,,108808239,best granola squares,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=108808239,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105713251,white choc chunk cookies,Cookies,Cookies,,Y,5,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713251,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105713277,double choc chunk cookies,Cookies,Cookies,,Y,5,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713277,2,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105713293,milk choc chunk cookies,Cookies,Cookies,,Y,5,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713293,4,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
,,105713373,best belgan milk cookies,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713373,4,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,111744766,Best belgan white chocolate cookie,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=111744766,4,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,106149487,best salted caramel cookies,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=106149487,4,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,105713411,best triple chocolate cookies,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=105713411,4,,#REF!,50%,D+3,,,,Y,2pm - 4pm,no change
,,108808212,best milk choc short bread,Cookies,Cookies,,Y,4,,,,Y,Y,,2,update productionpointitem set mincaseqty=2 where item_num=108808212,1,,#REF!,50%,D+2,,,,Y,2pm - 4pm,no change
